shipment_id,month,carrier,region,promised_days,actual_days,complete
1,2025-04,Carrier C,South,3,6,1
2,2025-05,Carrier A,South,3,2,1
3,2025-09,Carrier C,North,3,3,1
4,2025-11,Carrier C,West,3,4,1
5,2025-04,Carrier C,North,3,3,1
6,2025-03,Carrier A,East,3,3,1
7,2025-01,Carrier A,South,3,1,1
8,2025-05,Carrier A,North,3,2,1
9,2025-11,Carrier B,East,3,1,1
10,2025-03,Carrier A,West,3,1,1
11,2025-05,Carrier A,West,3,2,1
12,2025-04,Carrier C,North,3,6,1
13,2025-12,Carrier B,West,3,2,1
14,2025-12,Carrier A,North,3,2,1
15,2025-03,Carrier B,North,3,3,1
16,2025-04,Carrier B,West,3,2,1
17,2025-09,Carrier B,East,3,1,1
18,2025-01,Carrier B,West,3,3,1
19,2025-01,Carrier C,North,3,2,1
20,2025-12,Carrier B,West,3,1,1
21,2025-11,Carrier B,North,3,4,1
22,2025-08,Carrier C,East,3,6,1
23,2025-09,Carrier B,West,3,4,1
24,2025-03,Carrier B,South,3,4,1
25,2025-03,Carrier B,North,3,2,1
26,2025-11,Carrier C,East,3,2,1
27,2025-11,Carrier C,North,3,6,1
28,2025-08,Carrier C,North,3,3,1
29,2025-10,Carrier A,West,3,2,1
30,2025-03,Carrier B,East,3,3,1
31,2025-07,Carrier A,East,3,2,1
32,2025-01,Carrier B,West,3,4,1
33,2025-05,Carrier C,East,3,6,1
34,2025-05,Carrier C,South,3,3,1
35,2025-05,Carrier B,South,3,2,1
36,2025-01,Carrier C,North,3,6,1
37,2025-01,Carrier B,East,3,3,1
38,2025-02,Carrier A,North,3,2,1
39,2025-05,Carrier B,East,3,2,1
40,2025-03,Carrier A,North,3,2,1
41,2025-01,Carrier B,South,3,2,1
42,2025-08,Carrier A,East,3,1,1
43,2025-10,Carrier A,East,3,3,1
44,2025-08,Carrier C,North,3,5,1
45,2025-02,Carrier C,North,3,3,1
46,2025-07,Carrier A,North,3,2,1
47,2025-08,Carrier B,East,3,3,1
48,2025-01,Carrier B,South,3,3,1
49,2025-10,Carrier B,West,3,3,1
50,2025-06,Carrier C,East,3,5,1
51,2025-07,Carrier A,North,3,3,1
52,2025-02,Carrier B,West,3,2,1
53,2025-01,Carrier B,West,3,2,1
54,2025-06,Carrier C,West,3,3,1
55,2025-07,Carrier A,North,3,4,1
56,2025-07,Carrier B,East,3,2,1
57,2025-08,Carrier A,South,3,2,1
58,2025-03,Carrier B,South,3,2,1
59,2025-03,Carrier B,South,3,3,1
60,2025-12,Carrier A,West,3,3,1
61,2025-08,Carrier A,South,3,3,1
62,2025-12,Carrier A,West,3,3,1
63,2025-03,Carrier A,East,3,2,0
64,2025-11,Carrier C,West,3,3,1
65,2025-06,Carrier B,West,3,2,1
66,2025-06,Carrier C,North,3,5,1
67,2025-11,Carrier B,East,3,2,0
68,2025-03,Carrier B,South,3,4,1
69,2025-01,Carrier C,West,3,2,1
70,2025-06,Carrier C,West,3,5,1
71,2025-08,Carrier C,West,3,3,1
72,2025-03,Carrier B,North,3,1,1
73,2025-10,Carrier A,North,3,4,1
74,2025-12,Carrier B,North,3,3,1
75,2025-10,Carrier C,South,3,5,1
76,2025-04,Carrier B,South,3,1,0
77,2025-05,Carrier A,East,3,2,1
78,2025-09,Carrier C,East,3,3,1
79,2025-01,Carrier A,North,3,4,1
80,2025-07,Carrier B,South,3,2,1
81,2025-05,Carrier C,South,3,3,1
82,2025-03,Carrier B,North,3,2,0
83,2025-03,Carrier A,West,3,3,1
84,2025-06,Carrier B,West,3,2,1
85,2025-08,Carrier C,South,3,4,1
86,2025-08,Carrier C,South,3,5,1
87,2025-09,Carrier B,West,3,3,1
88,2025-04,Carrier B,North,3,3,1
89,2025-06,Carrier C,West,3,6,1
90,2025-12,Carrier C,West,3,4,1
91,2025-05,Carrier B,South,3,1,1
92,2025-10,Carrier A,East,3,4,1
93,2025-06,Carrier C,West,3,3,1
94,2025-04,Carrier A,East,3,2,1
95,2025-08,Carrier B,South,3,2,1
96,2025-02,Carrier C,West,3,4,1
97,2025-04,Carrier A,North,3,3,1
98,2025-10,Carrier B,West,3,2,1
99,2025-11,Carrier B,West,3,1,1
100,2025-10,Carrier A,South,3,3,1
101,2025-10,Carrier B,South,3,2,1
102,2025-11,Carrier C,East,3,3,1
103,2025-08,Carrier C,West,3,6,1
104,2025-03,Carrier C,North,3,3,1
105,2025-07,Carrier B,West,3,3,1
106,2025-01,Carrier A,North,3,1,1
107,2025-04,Carrier C,East,3,5,1
108,2025-06,Carrier C,North,3,5,1
109,2025-05,Carrier A,North,3,3,1
110,2025-08,Carrier B,West,3,3,1
111,2025-04,Carrier B,South,3,3,1
112,2025-11,Carrier A,South,3,3,1
113,2025-03,Carrier A,South,3,3,1
114,2025-11,Carrier C,West,3,3,1
115,2025-05,Carrier B,East,3,2,1
116,2025-10,Carrier C,South,3,4,1
117,2025-10,Carrier B,South,3,3,1
118,2025-01,Carrier C,West,3,3,1
119,2025-03,Carrier C,South,3,6,1
120,2025-11,Carrier B,West,3,4,1
121,2025-05,Carrier B,West,3,3,1
122,2025-10,Carrier C,East,3,2,1
123,2025-04,Carrier C,South,3,4,1
124,2025-12,Carrier A,South,3,1,1
125,2025-07,Carrier C,West,3,3,1
126,2025-10,Carrier C,West,3,3,1
127,2025-04,Carrier B,East,3,2,1
128,2025-10,Carrier B,North,3,2,1
129,2025-09,Carrier A,East,3,1,1
130,2025-05,Carrier C,East,3,5,1
131,2025-12,Carrier A,North,3,1,1
132,2025-07,Carrier C,East,3,3,1
133,2025-07,Carrier A,South,3,2,1
134,2025-02,Carrier A,East,3,3,1
135,2025-11,Carrier C,West,3,5,1
136,2025-02,Carrier A,East,3,2,1
137,2025-02,Carrier C,East,3,5,1
138,2025-09,Carrier C,South,3,3,1
139,2025-08,Carrier C,South,3,5,1
140,2025-02,Carrier B,North,3,2,1
141,2025-11,Carrier B,East,3,3,1
142,2025-07,Carrier A,West,3,1,1
143,2025-06,Carrier C,North,3,3,1
144,2025-03,Carrier C,South,3,5,0
145,2025-09,Carrier A,South,3,3,1
146,2025-11,Carrier B,West,3,1,1
147,2025-01,Carrier A,East,3,1,1
148,2025-02,Carrier A,North,3,2,1
149,2025-12,Carrier A,West,3,1,1
150,2025-02,Carrier B,North,3,3,1
151,2025-02,Carrier C,West,3,5,1
152,2025-03,Carrier C,North,3,4,1
153,2025-09,Carrier B,North,3,4,1
154,2025-06,Carrier A,East,3,4,1
155,2025-11,Carrier A,East,3,1,1
156,2025-05,Carrier B,East,3,2,1
157,2025-06,Carrier B,South,3,1,1
158,2025-06,Carrier A,North,3,2,1
159,2025-11,Carrier B,West,3,3,1
160,2025-07,Carrier A,South,3,2,1
161,2025-04,Carrier B,West,3,4,1
162,2025-11,Carrier B,North,3,2,1
163,2025-06,Carrier C,East,3,2,1
164,2025-02,Carrier C,South,3,5,1
165,2025-02,Carrier B,West,3,1,1
166,2025-06,Carrier C,North,3,3,1
167,2025-09,Carrier C,North,3,2,1
168,2025-02,Carrier C,East,3,3,1
169,2025-01,Carrier C,South,3,2,1
170,2025-12,Carrier C,West,3,5,1
171,2025-01,Carrier B,East,3,2,1
172,2025-05,Carrier C,North,3,4,1
173,2025-12,Carrier A,West,3,4,1
174,2025-05,Carrier A,South,3,1,1
175,2025-06,Carrier B,West,3,2,1
176,2025-06,Carrier A,West,3,2,1
177,2025-12,Carrier A,South,3,4,1
178,2025-01,Carrier A,South,3,2,1
179,2025-12,Carrier B,North,3,2,1
180,2025-09,Carrier A,East,3,4,1
181,2025-08,Carrier C,South,3,3,1
182,2025-03,Carrier C,South,3,3,0
183,2025-12,Carrier C,East,3,6,1
184,2025-05,Carrier C,South,3,5,1
185,2025-07,Carrier C,South,3,2,1
186,2025-07,Carrier A,East,3,3,1
187,2025-02,Carrier A,South,3,3,1
188,2025-02,Carrier C,West,3,6,1
189,2025-07,Carrier C,West,3,5,1
190,2025-08,Carrier A,North,3,2,1
191,2025-12,Carrier B,South,3,2,1
192,2025-10,Carrier B,North,3,2,1
193,2025-12,Carrier B,West,3,2,1
194,2025-09,Carrier A,North,3,3,1
195,2025-11,Carrier B,West,3,4,1
196,2025-01,Carrier B,North,3,3,1
197,2025-08,Carrier A,North,3,2,1
198,2025-01,Carrier A,East,3,2,1
199,2025-03,Carrier B,East,3,1,1
200,2025-11,Carrier C,East,3,4,1
201,2025-10,Carrier C,South,3,3,1
202,2025-11,Carrier A,West,3,4,1
203,2025-03,Carrier B,North,3,4,1
204,2025-11,Carrier B,West,3,3,1
205,2025-12,Carrier C,North,3,3,1
206,2025-06,Carrier B,South,3,3,1
207,2025-06,Carrier C,East,3,6,1
208,2025-11,Carrier B,West,3,3,1
209,2025-02,Carrier A,West,3,3,1
210,2025-06,Carrier B,North,3,4,1
211,2025-11,Carrier A,North,3,2,1
212,2025-03,Carrier A,North,3,1,1
213,2025-10,Carrier C,East,3,3,1
214,2025-01,Carrier C,West,3,5,1
215,2025-03,Carrier C,East,3,5,1
216,2025-09,Carrier A,South,3,2,1
217,2025-05,Carrier B,South,3,2,1
218,2025-11,Carrier A,North,3,4,1
219,2025-05,Carrier A,East,3,2,1
220,2025-09,Carrier B,East,3,2,1
221,2025-02,Carrier B,East,3,3,1
222,2025-11,Carrier C,West,3,2,0
223,2025-09,Carrier B,East,3,2,1
224,2025-08,Carrier B,East,3,2,1
225,2025-08,Carrier C,East,3,3,1
226,2025-10,Carrier B,North,3,3,1
227,2025-07,Carrier B,East,3,1,1
228,2025-04,Carrier C,North,3,2,0
229,2025-07,Carrier B,East,3,2,1
230,2025-05,Carrier B,East,3,2,1
231,2025-05,Carrier A,North,3,1,1
232,2025-06,Carrier C,East,3,5,1
233,2025-07,Carrier C,South,3,2,1
234,2025-11,Carrier B,South,3,2,1
235,2025-06,Carrier B,South,3,2,1
236,2025-09,Carrier B,South,3,4,1
237,2025-01,Carrier A,West,3,1,1
238,2025-07,Carrier A,North,3,1,1
239,2025-06,Carrier B,West,3,3,1
240,2025-03,Carrier C,North,3,6,1
241,2025-07,Carrier A,North,3,3,1
242,2025-02,Carrier B,North,3,1,1
243,2025-10,Carrier C,North,3,3,1
244,2025-07,Carrier C,North,3,3,1
245,2025-03,Carrier A,East,3,3,1
246,2025-08,Carrier C,South,3,5,1
247,2025-09,Carrier C,West,3,5,1
248,2025-11,Carrier A,West,3,4,1
249,2025-08,Carrier A,East,3,3,1
250,2025-04,Carrier C,North,3,6,1
251,2025-01,Carrier B,West,3,1,1
252,2025-11,Carrier A,West,3,1,1
253,2025-10,Carrier A,North,3,2,1
254,2025-02,Carrier B,East,3,2,0
255,2025-03,Carrier B,East,3,2,1
256,2025-06,Carrier C,South,3,5,1
257,2025-08,Carrier B,East,3,1,1
