CustomerKey,Facility,Region,Segment
1,Facility 01,North,Hospital
2,Facility 02,South,Clinic
3,Facility 03,East,Pharmacy
4,Facility 04,West,Hospital
5,Facility 05,North,Clinic
6,Facility 06,South,Pharmacy
7,Facility 07,East,Hospital
8,Facility 08,West,Clinic
9,Facility 09,North,Pharmacy
10,Facility 10,South,Hospital
11,Facility 11,East,Clinic
12,Facility 12,West,Pharmacy
13,Facility 13,North,Hospital
14,Facility 14,South,Clinic
15,Facility 15,East,Pharmacy
16,Facility 16,West,Hospital
17,Facility 17,North,Clinic
18,Facility 18,South,Pharmacy
19,Facility 19,East,Hospital
20,Facility 20,West,Clinic
21,Facility 21,North,Pharmacy
22,Facility 22,South,Hospital
23,Facility 23,East,Clinic
24,Facility 24,West,Pharmacy
25,Facility 25,North,Hospital
26,Facility 26,South,Clinic
27,Facility 27,East,Pharmacy
28,Facility 28,West,Hospital
29,Facility 29,North,Clinic
30,Facility 30,South,Pharmacy
31,Facility 31,East,Hospital
32,Facility 32,West,Clinic
33,Facility 33,North,Pharmacy
34,Facility 34,South,Hospital
35,Facility 35,East,Clinic
36,Facility 36,West,Pharmacy
37,Facility 37,North,Hospital
38,Facility 38,South,Clinic
39,Facility 39,East,Pharmacy
40,Facility 40,West,Hospital
41,Facility 41,North,Clinic
42,Facility 42,South,Pharmacy
43,Facility 43,East,Hospital
44,Facility 44,West,Clinic
45,Facility 45,North,Pharmacy
46,Facility 46,South,Hospital
47,Facility 47,East,Clinic
48,Facility 48,West,Pharmacy
