OrderKey,OrderDate,ProductKey,CustomerKey,CarrierKey,Units,GrossSales,Discount,Refund,COGS,Freight,Penalty,Expedite,OnTime,InFull,DelayDays
1,2024-02-14,4,35,2,71,2698,107.92,0.0,1645.78,49.95,0,0,1,1,0
2,2025-05-29,2,34,1,10,850,0,0,518.5,22.5,17.0,37.5,0,1,4
3,2025-12-03,3,43,1,31,186,7.44,0.0,113.46,22.65,0,0,1,0,0
4,2024-10-22,4,4,2,33,1254,150.48,0.0,764.94,32.85,0,0,1,1,0
5,2025-04-25,3,46,2,42,252,10.08,0.0,153.72,24.3,0,0,1,1,0
6,2025-01-24,3,46,3,41,246,19.68,0.0,150.06,24.15,4.53,45.25,0,1,2
7,2024-09-19,3,36,1,33,198,15.84,0.0,120.78,22.95,0,0,1,1,0
8,2024-04-11,3,10,2,78,468,56.16,0.0,285.48,29.7,0,0,1,1,0
9,2025-01-03,3,16,2,15,90,10.8,0.0,54.9,20.25,0,0,1,1,0
10,2024-01-31,3,9,2,10,60,7.2,0.0,36.6,19.5,0,0,1,1,0
11,2025-02-03,1,29,2,56,672,0,0,409.92,26.4,0,0,1,1,0
12,2025-01-24,1,28,3,10,120,0,0,73.2,19.5,2.4,0,0,1,1
13,2024-11-11,3,46,3,98,588,23.52,0.0,358.68,32.7,0,0,1,1,0
14,2024-04-18,1,15,3,29,348,0,0,212.28,22.35,6.96,42.25,0,1,2
15,2024-09-15,1,38,3,24,288,34.56,0.0,175.68,21.6,0,0,1,1,0
16,2025-11-03,3,46,2,78,468,37.44,0.0,285.48,29.7,0,0,1,1,0
17,2025-06-06,2,26,2,76,6460,516.8,0.0,3940.6,52.2,0,0,1,0,0
18,2024-12-24,1,6,2,32,384,30.72,0.0,234.24,22.8,0,0,1,1,0
19,2025-09-22,1,6,1,61,732,58.56,0.0,446.52,27.15,0,0,1,1,0
20,2024-02-05,1,35,2,61,732,29.28,0.0,446.52,27.15,0,0,1,1,0
21,2024-11-04,3,22,1,52,312,37.44,0.0,190.32,25.8,0,0,1,1,0
22,2025-05-08,4,30,1,52,1976,158.08,0.0,1205.36,41.4,0,0,1,1,0
23,2024-07-08,3,32,1,65,390,0,0,237.9,27.75,0,0,1,1,0
24,2024-04-20,3,37,3,76,456,36.48,0.0,278.16,29.4,8.39,0,0,1,1
25,2024-03-30,4,38,2,51,1938,0,0,1182.18,40.95,0,0,1,1,0
26,2024-03-10,3,14,3,97,582,46.56,0.0,355.02,32.55,10.71,0,0,1,1
27,2024-06-30,4,15,1,35,1330,0,0,811.3,33.75,0,0,1,1,0
28,2024-04-07,2,4,3,31,2635,210.8,0.0,1607.35,31.95,48.48,42.75,0,1,4
29,2025-12-19,2,31,3,53,4505,540.6,0.0,2748.05,41.85,0,0,1,1,0
30,2024-10-06,4,19,1,93,3534,141.36,0.0,2155.74,59.85,0,0,1,1,0
