YearMonth,NetRevenue,Contribution
2024-01,845589.16,239532.06
2024-02,779820.52,211768.0
2024-03,880181.68,253745.48
2024-04,883157.36,253086.45
2024-05,960106.84,281758.19
2024-06,831427.96,251196.01
2024-07,891617.32,271503.14
2024-08,881061.08,253053.24
2024-09,868473.52,231713.97
2024-10,862979.0,267717.99
2024-11,931274.56,284856.01
2024-12,904150.72,272629.36
2025-01,915155.24,271212.8
2025-02,909848.92,276223.59
2025-03,851514.36,247467.77
2025-04,900007.08,280032.29
2025-05,802123.32,238224.84
2025-06,941963.16,285933.05
2025-07,903299.76,267557.3
2025-08,929062.56,274779.43
2025-09,826607.8,236195.62
2025-10,844101.56,262207.62
2025-11,787829.76,228499.43
2025-12,881899.52,271402.97
