order_id,order_date,region,category,customer_id,units,gross_sales,discount,refunds,cost
1,2025-04-14,South,Home,22,2,240.0,36.0,0.0,139.2
2,2025-05-05,North,Technology,481,4,180.0,27.0,0.0,104.4
3,2025-09-05,North,Office,496,4,320.0,0.0,0.0,185.6
4,2025-11-26,East,Home,436,1,120.0,18.0,0.0,69.6
5,2025-04-13,West,Home,311,1,80.0,0.0,0.0,46.4
6,2025-03-06,East,Technology,400,5,125.0,0.0,0.0,72.5
7,2025-01-24,East,Office,346,4,480.0,72.0,0.0,278.4
8,2025-05-22,West,Technology,17,3,360.0,18.0,0.0,208.8
9,2025-11-14,North,Technology,10,4,100.0,15.0,0.0,58.0
10,2025-03-25,North,Technology,445,1,80.0,0.0,0.0,46.4
11,2025-05-22,West,Office,52,4,320.0,48.0,0.0,185.6
12,2025-04-30,East,Technology,42,2,240.0,12.0,0.0,139.2
13,2025-12-19,East,Office,103,1,25.0,0.0,0.0,14.5
14,2025-12-03,North,Office,12,4,180.0,0.0,0.0,104.4
15,2025-03-10,North,Office,199,1,45.0,0.0,0.0,26.1
16,2025-04-16,North,Home,134,3,135.0,0.0,135.0,78.3
17,2025-09-10,East,Technology,425,3,240.0,12.0,0.0,139.2
18,2025-01-30,South,Office,291,1,80.0,0.0,0.0,46.4
19,2025-01-15,North,Office,391,5,400.0,0.0,0.0,232.0
20,2025-12-17,North,Technology,355,5,125.0,0.0,0.0,72.5
21,2025-11-26,East,Office,326,2,240.0,12.0,0.0,139.2
22,2025-08-28,East,Technology,113,2,160.0,0.0,0.0,92.8
23,2025-09-12,East,Office,360,1,120.0,0.0,0.0,69.6
24,2025-03-25,South,Office,55,1,80.0,0.0,0.0,46.4
25,2025-03-02,West,Technology,101,2,160.0,24.0,0.0,92.8
26,2025-11-16,North,Home,272,2,240.0,12.0,0.0,139.2
27,2025-11-27,East,Technology,367,3,360.0,54.0,0.0,208.8
28,2025-08-01,East,Home,124,1,25.0,1.25,0.0,14.5
29,2025-10-28,South,Technology,497,5,400.0,20.0,0.0,232.0
30,2025-03-15,North,Technology,159,5,125.0,6.25,0.0,72.5
31,2025-07-23,South,Technology,126,5,225.0,0.0,0.0,130.5
32,2025-01-13,East,Home,454,3,360.0,54.0,0.0,208.8
33,2025-05-28,West,Home,159,4,320.0,16.0,0.0,185.6
34,2025-05-24,North,Home,205,4,480.0,24.0,0.0,278.4
35,2025-05-01,North,Office,312,5,225.0,11.25,0.0,130.5
36,2025-01-31,West,Technology,85,4,320.0,0.0,0.0,185.6
37,2025-01-21,East,Office,188,5,125.0,18.75,0.0,72.5
38,2025-02-11,North,Home,262,1,80.0,4.0,0.0,46.4
39,2025-05-15,West,Home,492,1,80.0,4.0,0.0,46.4
40,2025-03-22,East,Office,480,3,240.0,12.0,0.0,139.2
41,2025-01-24,West,Office,466,4,180.0,9.0,0.0,104.4
42,2025-08-31,North,Office,334,1,80.0,12.0,0.0,46.4
43,2025-10-26,South,Technology,91,2,160.0,8.0,152.0,92.8
44,2025-08-13,East,Office,37,5,225.0,0.0,0.0,130.5
45,2025-02-27,East,Office,134,4,100.0,0.0,0.0,58.0
46,2025-07-20,East,Technology,482,5,400.0,0.0,0.0,232.0
47,2025-08-10,North,Technology,135,4,320.0,0.0,0.0,185.6
48,2025-01-05,North,Home,304,2,90.0,0.0,0.0,52.2
49,2025-10-26,North,Technology,73,2,160.0,24.0,0.0,92.8
50,2025-06-19,West,Home,373,2,90.0,4.5,0.0,52.2
51,2025-07-24,East,Technology,329,3,75.0,0.0,75.0,43.5
52,2025-02-20,North,Technology,95,4,320.0,0.0,0.0,185.6
53,2025-01-11,West,Office,429,5,400.0,60.0,0.0,232.0
54,2025-06-25,North,Technology,315,4,180.0,0.0,0.0,104.4
55,2025-07-09,North,Office,14,4,180.0,9.0,0.0,104.4
56,2025-07-12,West,Technology,176,4,100.0,5.0,0.0,58.0
